Name,Lat,Lon,zip_code,,,,
ATM (Suntrust Bank),37.6510341,-77.612728,23233,,,,
ATM (Uppy's),37.6389179,-77.631821,23233,,,,
ATM Express,37.6428408,-77.568994,23233,,,,
ATM Express,37.654897,-77.62287,23233,,,,
BB&T ATM,37.6535427,-77.619479,23233,,,,
BP,37.6429312,-77.568966,23233,,,,
C&F Bank,37.6448779,-77.62779,23233,,,,
Call Federal Credit Union,37.639891,-77.569713,23233,,,,
Capital One ATM,37.6561411,-77.619383,23233,,,,
EcoATM,37.6530702,-77.625332,23233,,,,
"Efmark Deployment 1, Inc.",37.651963,-77.612558,23233,,,,
First Citizens Bank,37.6560855,-77.625788,23233,,,,
"Payment Alliance International, Inc.",37.651621,-77.616694,23233,,,,
Shell,37.641702,-77.570945,23233,,,,
SunTrust,37.651043,-77.612643,23233,,,,
Virginia Credit Union,37.6506717,-77.622315,23233,,,,
Wells Fargo Bank,37.6203991,-77.625011,23233,,,,
BP,37.4772131,-77.443731,23234,,,,
Call Federal Credit Union,37.4631046,-77.428268,23234,,,,
ATM (Atlantic Specialty Lines Inc),37.5541685,-77.569024,23235,,,,
ATM (Street Corner),37.5084585,-77.609682,23235,,,,
Cardtronics,37.5034829,-77.604646,23235,,,,
Cardtronics ATM,37.50933,-77.598565,23235,,,,
Wells Fargo Bank,37.4468951,-77.572891,23236,,,,
Access to Money,37.5971379,-77.606578,23238,,,,
Bank of Virginia,37.596231,-77.603868,23238,,,,
Patterson BP,37.5970021,-77.605156,23238,,,,
ATM (Broad & Pemberton Exxon),37.6402329,-77.56058,23294,,,,
ATM Henrico Fcu,37.6384107,-77.556495,23294,,,,
Citibank ATM,37.6402722,-77.558352,23294,,,,
Henrico Federal Credit Union,37.6384347,-77.556492,23294,,,,
Virginia Credit Union,37.64012,-77.557642,23294,,,,
Wells Fargo Bank,37.5407618,-77.430817,23298,,,,
Bank of America ATM,37.2364644,-77.419876,23806,,,,
ATM Argent Federal Cu,37.3569809,-77.445593,23831,,,,
Bank of America ATM,37.3538035,-77.413954,23831,,,,
Bank of Virginia,37.3572625,-77.441577,23831,,,,
Cardtronics ATM,37.3567921,-77.446262,23831,,,,
Faison Financial of Virginia,37.3593452,-77.434115,23831,,,,
"Nationallink, Inc.",37.3561651,-77.446779,23831,,,,
