,name,lat,lon,zipcode
1105,ATM,37.55559520000001,-77.4664793,23220
1106,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1107,ATM Express,37.5564544,-77.46071839999999,23220
1108,ATM,37.55559520000001,-77.4664793,23220
1109,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1110,ATM Express,37.5564544,-77.46071839999999,23220
1111,ATM,37.55559520000001,-77.4664793,23220
1112,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1113,ATM Express,37.5564544,-77.46071839999999,23220
1114,ATM,37.55559520000001,-77.4664793,23220
1115,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1116,ATM Express,37.5564544,-77.46071839999999,23220
1117,ATM,37.55559520000001,-77.4664793,23220
1118,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1119,ATM Express,37.5564544,-77.46071839999999,23220
1120,ATM,37.55559520000001,-77.4664793,23220
1121,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1122,ATM Express,37.5564544,-77.46071839999999,23220
1123,ATM,37.55559520000001,-77.4664793,23220
1124,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1125,ATM Express,37.5564544,-77.46071839999999,23220
1126,ATM,37.55559520000001,-77.4664793,23220
1127,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1128,ATM Express,37.5564544,-77.46071839999999,23220
1129,ATM,37.55559520000001,-77.4664793,23220
1130,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1131,ATM Express,37.5564544,-77.46071839999999,23220
1132,ATM,37.55559520000001,-77.4664793,23220
1133,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1134,ATM Express,37.5564544,-77.46071839999999,23220
1135,ATM,37.55559520000001,-77.4664793,23220
1136,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1137,ATM Express,37.5564544,-77.46071839999999,23220
1138,ATM,37.55559520000001,-77.4664793,23220
1139,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1140,ATM Express,37.5564544,-77.46071839999999,23220
1141,ATM,37.55559520000001,-77.4664793,23220
1142,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1143,ATM Express,37.5564544,-77.46071839999999,23220
1144,ATM,37.55559520000001,-77.4664793,23220
1145,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1146,ATM Express,37.5564544,-77.46071839999999,23220
1147,ATM,37.55559520000001,-77.4664793,23220
1148,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1149,ATM Express,37.5564544,-77.46071839999999,23220
1150,ATM,37.55559520000001,-77.4664793,23220
1151,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1152,ATM Express,37.5564544,-77.46071839999999,23220
1153,ATM,37.55559520000001,-77.4664793,23220
1154,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1155,ATM Express,37.5564544,-77.46071839999999,23220
1156,ATM,37.55559520000001,-77.4664793,23220
1157,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1158,ATM Express,37.5564544,-77.46071839999999,23220
1159,ATM,37.55559520000001,-77.4664793,23220
1160,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1161,ATM Express,37.5564544,-77.46071839999999,23220
1162,ATM,37.55559520000001,-77.4664793,23220
1163,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1164,ATM Express,37.5564544,-77.46071839999999,23220
1165,ATM,37.55559520000001,-77.4664793,23220
1166,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1167,ATM Express,37.5564544,-77.46071839999999,23220
1168,ATM,37.55559520000001,-77.4664793,23220
1169,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1170,ATM Express,37.5564544,-77.46071839999999,23220
1171,ATM,37.55559520000001,-77.4664793,23220
1172,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1173,ATM Express,37.5564544,-77.46071839999999,23220
1174,ATM,37.55559520000001,-77.4664793,23220
1175,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
